Szczecin
160 Koszalin
105 Gorzow Wielkopolski
Koszalin
188 Gdansk
198 Bydgoszcz
239 Poznan
Gdansk
156 Olsztyn
181 Bydgoszcz
Olsztyn
223 Bialystok
213 Warszawa
172 Torun
Bialystok
260 Lublin
188 Warszawa
Lublin
161 Warszawa
107 Radom
170 Rzeszow
Rzeszow
200 Radom
79 Tarnow
Tarnow
113 Kielce
86 Krakow
Nowy Sacz
67 Tarnow
Krakow
114 Kielce
75 Katowice
86 Bielsko-Biala
Bielsko-Biala
58 Katowice
Katowice
159 Piotrkow Trybunalski
214 Kalisz
199 Wroclaw
Wroclaw
116 Kalisz
157 Zielona Gora
178 Poznan
Zielona Gora
130 Poznan
109 Gorzow Wielkopolski
Gorzow Wielkopolski
129 Poznan
Poznan
129 Bydgoszcz
212 Lodz
132 Kalisz
Kalisz
126 Piotrkow Trybunalski
Piotrkow Trybunalski
42 Lodz
137 Warszawa
96 Kielce
109 Radom
Kielce
78 Radom
Radom
103 Warszawa
Warszawa
209 Torun
134 Lodz
Lodz
159 Torun
Torun
46 Bydgoszcz
Bydgoszcz
